make_model,hp_kW,km,age,Gearing_Type,Gears,Fuel,price
340,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
341,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
342,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
343,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
344,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
345,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
346,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
347,Audi A1,85.0,31100.0,3.0,Automatic,5.0,Diesel,15700
348,Audi A1,92.0,79244.0,3.0,Automatic,7.0,Benzine,15680
349,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
350,Audi A1,85.0,58722.0,3.0,Automatic,7.0,Diesel,15750
351,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
352,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
353,Audi A1,70.0,11725.0,3.0,Automatic,7.0,Benzine,15660
354,Audi A1,85.0,41600.0,3.0,Automatic,7.0,Diesel,15750
355,Audi A1,85.0,56000.0,3.0,Automatic,7.0,Diesel,11000
356,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
357,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
358,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
359,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
360,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
361,Audi A1,66.0,60000.0,3.0,Automatic,7.0,Diesel,14990
362,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
363,Audi A1,70.0,56967.0,3.0,Automatic,7.0,Benzine,14959
364,Audi A1,70.0,56967.0,3.0,Automatic,7.0,Benzine,14959
